nome_municipio,codigo_ibge,SG_UF,FEMININO,MASCULINO,NÃO DIVULGÁVEL,NÃO INFORMADO
BARRO ALTO,2903235,BA,1,51,0,0
BARRO ALTO,5203203,GO,11,39,0,0
BARRO DURO,2201408,PI,8,43,0,0
BARRO PRETO,2903300,BA,10,40,0,0
BARROCAS,2903276,BA,3,49,0,0
BARROLÂNDIA,1703107,TO,10,41,0,0
BARROQUINHA,2302057,CE,17,39,0,0
BARROS CASSAL,4302006,RS,7,45,0,0
BARROSO,3105905,MG,2,50,0,0
BARUERI,3505708,SP,6,95,0,0
BARÃO,4301651,RS,6,46,0,0
BARÃO DE ANTONINA,3505005,SP,5,47,0,0
BARÃO DE COCAIS,3105400,MG,2,58,0,0
BARÃO DE COTEGIPE,4301701,RS,6,46,0,0
BARÃO DE GRAJAÚ,2101509,MA,1,57,0,0
BARÃO DE MELGAÇO,5101605,MT,3,44,0,0
BARÃO DE MONTE ALTO,3105509,MG,8,43,0,0
BARÃO DO TRIUNFO,4301750,RS,7,45,0,0
BASTOS,3505807,SP,5,54,0,0
BATAGUASSU,5001904,MS,8,47,0,0
BATALHA,2201507,PI,13,45,0,0
BATALHA,2700706,AL,2,51,0,0
BATATAIS,3505906,SP,14,63,0,0
BATAYPORÃ,5002001,MS,5,47,0,0
BATURITÉ,2302107,CE,12,55,0,0
BAURU,3506003,SP,9,85,0,0
BAYEUX,2501807,PB,12,69,0,0
BAÍA DA TRAIÇÃO,2501401,PB,3,48,0,0
BAÍA FORMOSA,2401404,RN,4,46,0,0
BEBEDOURO,3506102,SP,10,48,0,0
BEBERIBE,2302206,CE,2,69,0,0
BELA CRUZ,2302305,CE,7,60,0,0
BELA VISTA,5002100,MS,11,48,0,0
BELA VISTA DA CAROBA,4102752,PR,7,45,0,0
BELA VISTA DE GOIÁS,5203302,GO,4,51,0,0
BELA VISTA DE MINAS,3106002,MG,10,39,0,0
BELA VISTA DO MARANHÃO,2101772,MA,5,47,0,0
